id,type,action,location,beach,description,rooms,price,contact_info
1,квартира,аренда,Патонг,Патонг,Современная квартира с видом на море,2,20000,+123456789
2,вилла,покупка,Патонг,Патонг,Роскошная вилла с бассейном,3,6000000,+987654321
3,апартаменты,аренда,Ката,Ката,Уютные апартаменты у пляжа,1,12000,+456789123
4,кондоминиум,покупка,Ката,Ката,Кондоминиум с панорамным видом,2,3500000,+789123456
5,квартира,аренда,Карон,Карон,Компактная квартира с кухней,2,15000,+147258369
6,вилла,покупка,Карон,Карон,Вилла с частным садом,4,8000000,+369258147
7,апартаменты,аренда,Камала,Камала,Апартаменты с видом на закат,1,13000,+258369147
8,кондоминиум,покупка,Камала,Камала,Люксовый кондоминиум,3,4500000,+741852963
9,квартира,аренда,Сурин,Сурин,Квартира рядом с пляжем,2,18000,+852963741
10,вилла,покупка,Сурин,Сурин,Вилла с infinity-пулом,3,7000000,+963852741
11,апартаменты,аренда,Банг Тао,Банг Тао,Апартаменты с террасой,1,14000,+147369258
12,кондоминиум,покупка,Банг Тао,Банг Тао,Кондоминиум с бассейном,2,4000000,+258147369
13,квартира,аренда,Най Харн,Най Харн,Квартира у тихого пляжа,2,16000,+369147258
14,вилла,покупка,Най Харн,Най Харн,Вилла с видом на море,3,6500000,+741369852
15,апартаменты,аренда,Равай,Равай,Апартаменты с современным дизайном,1,11000,+852741963
16,кондоминиум,покупка,Равай,Равай,Кондоминиум с видом на залив,2,3000000,+963741852
17,квартира,аренда,Най Янг,Най Янг,Квартира рядом с аэропортом,2,17000,+147258963
18,вилла,покупка,Най Янг,Най Янг,Вилла с частным пляжем,3,7500000,+369852741
19,апартаменты,аренда,Маи Као,Маи Као,Апартаменты у северного пляжа,1,12000,+258963147
20,кондоминиум,покупка,Маи Као,Маи Као,Кондоминиум с садом,2,3200000,+741963852
21,квартира,аренда,Панва,Панва,Квартира с видом на остров,2,19000,+852369741
22,вилла,покупка,Панва,Панва,Вилла с панорамным видом,3,6800000,+963147258